file,upload_gui_time,stats_time,scatter_plot_time,magnitude_plot_time,row_scaled_heatmap_time,total_time
air05.mps,0.030261993408203125,0.000179290771484375,0.0167083740234375,1.2220025062561035,0.036572933197021484,1.353832721710205
app1-1.mps,0.021051645278930664,0.0001456737518310547,0.0053293704986572266,0.42554473876953125,,0.5322716236114502
app1-2.mps,0.1700575351715088,0.0004367828369140625,0.05843186378479004,1.2330269813537598,,1.6128785610198975
assign1-5-8.mps,0.047394752502441406,0.00014066696166992188,0.0017077922821044922,0.11352896690368652,0.00725865364074707,0.1726970672607422
atlanta-ip.mps,0.2189640998840332,0.0002651214599609375,0.08520197868347168,1.5465636253356934,,2.0921313762664795
b1c1s1.mps,0.05865287780761719,0.0003311634063720703,0.009924650192260742,0.30637073516845703,,0.40245842933654785
bab2.mps,1.734356164932251,0.0003714561462402344,0.6604275703430176,1.858227014541626,,5.999875783920288
bab6.mps,0.9921371936798096,0.0005397796630859375,0.4083058834075928,1.6401519775390625,,4.243195056915283
beasleyC3.mps,0.08643317222595215,0.0002281665802001953,0.004878044128417969,0.16102886199951172,0.06381750106811523,0.32874488830566406
binkar10_1.mps,0.06733846664428711,0.0002880096435546875,0.004452705383300781,0.11479473114013672,0.03198385238647461,0.23465967178344727
blp-ar98.mps,0.21278023719787598,0.0001811981201171875,0.06935548782348633,1.3864989280700684,,1.8413574695587158
blp-ic98.mps,0.18585896492004395,0.0001552104949951172,0.05662274360656738,1.6594936847686768,0.10362577438354492,2.2999162673950195
bnatt400.mps,0.06073641777038574,0.00021076202392578125,0.007309675216674805,0.6100046634674072,,0.7067298889160156
bnatt500.mps,0.08916449546813965,0.0004572868347167969,0.008759737014770508,0.7021546363830566,,0.8199667930603027
bppc4-08.mps,0.06834554672241211,0.0004818439483642578,0.018221378326416016,0.6797609329223633,0.006875514984130859,0.8042364120483398
brazil3.mps,0.18432831764221191,0.00021958351135253906,0.06701207160949707,1.4036407470703125,,1.786550521850586
buildingenergy.mps,0.7631969451904297,0.0028078556060791016,0.26639747619628906,1.57850980758667,,3.5417404174804688
cbs-cta.mps,0.12504243850708008,0.0002675056457519531,0.033260345458984375,1.3451595306396484,,1.59293794631958
chromaticindex1024-7.mps,0.41852617263793945,0.0004565715789794922,0.08153676986694336,1.3340599536895752,,2.2020230293273926
chromaticindex512-7.mps,0.19358038902282715,0.0003306865692138672,0.045127153396606445,1.4210832118988037,,1.8124618530273438
cmflsp50-24-8-8.mps,0.2227935791015625,0.00016164779663085938,0.047614097595214844,1.3286869525909424,,1.8850009441375732
CMS750_4.mps,0.09859585762023926,0.00024890899658203125,0.013460874557495117,1.4372601509094238,,1.5943224430084229
co-100.mps,1.1529242992401123,0.00029206275939941406,0.7001323699951172,2.1323776245117188,,5.413480758666992
cod105.mps,0.08074784278869629,0.00019741058349609375,0.0181119441986084,1.3764784336090088,0.02379441261291504,1.5358052253723145
comp07-2idx.mps,0.2780606746673584,0.00028514862060546875,0.023980140686035156,1.5448942184448242,,2.0672554969787598
comp21-2idx.mps,0.11757826805114746,0.00023627281188964844,0.016847848892211914,1.5239429473876953,,1.7142970561981201
cost266-UUE.mps,0.06334567070007324,0.0002694129943847656,0.009171247482299805,0.3133370876312256,0.07397723197937012,0.49402737617492676
cryptanalysiskb128n5obj14.mps,0.3351473808288574,0.0007162094116210938,0.08536887168884277,1.4174399375915527,,2.1428725719451904
cryptanalysiskb128n5obj16.mps,0.3251528739929199,0.0007092952728271484,0.08828234672546387,1.5126473903656006,,2.1821274757385254
csched007.mps,0.059569358825683594,0.0003600120544433594,0.005758523941040039,0.2146008014678955,0.012820243835449219,0.31058287620544434
csched008.mps,0.13437223434448242,0.0002589225769042969,0.004766702651977539,0.21622300148010254,0.017052888870239258,0.3832850456237793
cvs16r128-89.mps,0.056693315505981445,0.00026869773864746094,0.007758140563964844,0.3753042221069336,,0.47802138328552246
